lot_code,line_code,product_code,planned_start_date
LOT-KULL1-001,KUL-L1,CTRL-A100,2026-01-01
LOT-KULL2-001,KUL-L2,CTRL-A100,2026-01-01
LOT-PNGL1-001,PNG-L1,CTRL-A100,2026-01-01
LOT-PNGL2-001,PNG-L2,CTRL-A100,2026-01-01
LOT-KULL1-004,KUL-L1,SENS-B200,2026-01-04
LOT-KULL2-004,KUL-L2,SENS-B200,2026-01-04
LOT-PNGL1-004,PNG-L1,SENS-B200,2026-01-04
LOT-PNGL2-004,PNG-L2,SENS-B200,2026-01-04
LOT-KULL1-007,KUL-L1,GW-C300,2026-01-07
LOT-KULL2-007,KUL-L2,GW-C300,2026-01-07
LOT-PNGL1-007,PNG-L1,GW-C300,2026-01-07
LOT-PNGL2-007,PNG-L2,GW-C300,2026-01-07
LOT-KULL1-010,KUL-L1,CTRL-A100,2026-01-10
LOT-KULL2-010,KUL-L2,CTRL-A100,2026-01-10
LOT-PNGL1-010,PNG-L1,CTRL-A100,2026-01-10
LOT-PNGL2-010,PNG-L2,CTRL-A100,2026-01-10
LOT-KULL1-013,KUL-L1,SENS-B200,2026-01-13
LOT-KULL2-013,KUL-L2,SENS-B200,2026-01-13
LOT-PNGL1-013,PNG-L1,SENS-B200,2026-01-13
LOT-PNGL2-013,PNG-L2,SENS-B200,2026-01-13
LOT-KULL1-016,KUL-L1,GW-C300,2026-01-16
LOT-KULL2-016,KUL-L2,GW-C300,2026-01-16
LOT-PNGL1-016,PNG-L1,GW-C300,2026-01-16
LOT-PNGL2-016,PNG-L2,GW-C300,2026-01-16
LOT-KULL1-019,KUL-L1,CTRL-A100,2026-01-19
LOT-KULL2-019,KUL-L2,CTRL-A100,2026-01-19
LOT-PNGL1-019,PNG-L1,CTRL-A100,2026-01-19
LOT-PNGL2-019,PNG-L2,CTRL-A100,2026-01-19
LOT-KULL1-022,KUL-L1,SENS-B200,2026-01-22
LOT-KULL2-022,KUL-L2,SENS-B200,2026-01-22
LOT-PNGL1-022,PNG-L1,SENS-B200,2026-01-22
LOT-PNGL2-022,PNG-L2,SENS-B200,2026-01-22
LOT-KULL1-025,KUL-L1,GW-C300,2026-01-25
LOT-KULL2-025,KUL-L2,GW-C300,2026-01-25
LOT-PNGL1-025,PNG-L1,GW-C300,2026-01-25
LOT-PNGL2-025,PNG-L2,GW-C300,2026-01-25
LOT-KULL1-028,KUL-L1,CTRL-A100,2026-01-28
LOT-KULL2-028,KUL-L2,CTRL-A100,2026-01-28
LOT-PNGL1-028,PNG-L1,CTRL-A100,2026-01-28
LOT-PNGL2-028,PNG-L2,CTRL-A100,2026-01-28
LOT-KULL1-031,KUL-L1,SENS-B200,2026-01-31
LOT-KULL2-031,KUL-L2,SENS-B200,2026-01-31
LOT-PNGL1-031,PNG-L1,SENS-B200,2026-01-31
LOT-PNGL2-031,PNG-L2,SENS-B200,2026-01-31
LOT-KULL1-034,KUL-L1,GW-C300,2026-02-03
LOT-KULL2-034,KUL-L2,GW-C300,2026-02-03
LOT-PNGL1-034,PNG-L1,GW-C300,2026-02-03
LOT-PNGL2-034,PNG-L2,GW-C300,2026-02-03
LOT-KULL1-037,KUL-L1,CTRL-A100,2026-02-06
LOT-KULL2-037,KUL-L2,CTRL-A100,2026-02-06
LOT-PNGL1-037,PNG-L1,CTRL-A100,2026-02-06
LOT-PNGL2-037,PNG-L2,CTRL-A100,2026-02-06
LOT-KULL1-040,KUL-L1,SENS-B200,2026-02-09
LOT-KULL2-040,KUL-L2,SENS-B200,2026-02-09
LOT-PNGL1-040,PNG-L1,SENS-B200,2026-02-09
LOT-PNGL2-040,PNG-L2,SENS-B200,2026-02-09
LOT-KULL1-043,KUL-L1,GW-C300,2026-02-12
LOT-KULL2-043,KUL-L2,GW-C300,2026-02-12
LOT-PNGL1-043,PNG-L1,GW-C300,2026-02-12
LOT-PNGL2-043,PNG-L2,GW-C300,2026-02-12
LOT-KULL1-046,KUL-L1,CTRL-A100,2026-02-15
LOT-KULL2-046,KUL-L2,CTRL-A100,2026-02-15
LOT-PNGL1-046,PNG-L1,CTRL-A100,2026-02-15
LOT-PNGL2-046,PNG-L2,CTRL-A100,2026-02-15
LOT-KULL1-049,KUL-L1,SENS-B200,2026-02-18
